15,6,9
13,6,7
10,5,5
7,6,1
9,7,2
6,2,2
9,4,3
8,4,4
11,3,3
12,3,6
15,8,12
17,5,6
16,6,6
15,6,9
16,5,6
12,3,6
12,8,4
16,7,4
17,8,6
20,7,5
17,6,11
19,5,8
20,9,6
15,4,5
14,8,5
12,6,3
14,8,5
12,5,5
12,3,3
11,4,1
13,5,5
14,6,1
12,8,5
22,5,8
32,8,10
31,9,10
35,11,11
26,8,7
34,8,6
30,8,9
27,11,6
27,6,6
24,12,8
26,10,7
29,12,13
32,11,15
30,12,9
27,13,8
21,8,10
18,8,4
19,8,7
13,8,5
11,10,4
11,6,4
11,4,3
14,6,5
15,6,6
29,9,6
33,11,10
32,10,8
32,9,10
29,8,5
27,10,8
26,11,8
28,8,5
26,14,7
25,9,4
29,10,7
26,12,6
24,8,6
25,13,9
20,11,3
18,10,2
18,8,6
13,7,3
13,7,6
10,5,1
12,6,6
13,6,2
11,6,3
13,9,5
22,6,5
26,8,3
27,7,4
31,10,7
24,10,5
23,10,5
26,7,7
26,8,9
24,12,8
23,9,7
25,9,6
26,10,8
24,10,5
26,11,4
24,8,4
19,8,6
20,7,3
18,8,1
13,5,2
13,4,1
9,6,4
12,5,4
12,6,4
15,8,4
16,6,5
23,7,5
24,11,2
25,10,7
24,7,6
26,12,5
22,10,4
20,11,4
20,7,6
22,9,8
26,13,4
22,10,6
21,12,5
21,8,4
21,10,6
16,6,3
18,8,3
19,7,2
14,7,3
12,9,1
13,4,3
14,8,2
14,6,5
13,4,3
20,7,7
22,11,2
26,11,6
26,8,5
21,5,3
23,9,7
23,10,3
19,13,5
19,12,5
20,10,8
24,7,6
18,12,2
19,10,5
16,9,6
17,6,6
16,5,3
16,10,6
10,10,3
9,10,4
8,9,5
7,8,6
9,6,1
8,2,2
12,6,2
13,5,2
17,8,3
14,6,4
14,6,4
14,7,3
14,3,9
11,8,3
15,4,5
13,6,4
12,5,4
17,4,5
18,7,7
17,7,3
16,7,6
15,8,3
13,4,4
16,3,6
11,7,3
8,6,3
10,7,5
10,6,5
10,6,2
9,2,5
11,5,5
12,5,6
18,8,10
14,7,11
17,8,3
14,8,3
14,7,6
14,4,4
12,9,2
14,6,2
18,8,7
13,8,6
16,6,5
18,8,6
14,8,6
14,7,3
13,7,3
15,4,5
11,6,2
10,6,6
9,5,2
8,9,5
8,4,5
10,9,2
11,9,6
17,10,7
19,9,5
22,7,5
23,9,6
23,7,4
24,12,6
24,12,3
19,8,4
19,12,4
20,9,6
31,13,8
25,12,6
35,12,5
21,11,8
24,8,8
19,9,12
19,11,6
18,9,7
17,8,4
12,7,6
10,6,7
14,6,3
15,5,6
14,5,4
34,7,6
40,6,5
38,8,5
36,6,2
27,8,4
48,9,7
43,11,6
41,13,4
35,8,6
40,11,2
40,10,5
40,14,7
36,9,9
37,9,6
35,7,7
28,14,6
25,6,5
19,10,3
21,6,5
20,6,6
15,6,2
17,6,4
14,8,3
19,9,2
22,6,6
30,8,3
26,4,3
26,6,6
23,11,5
23,11,6
24,6,4
22,6,4
24,10,6
26,10,5
27,8,6
22,10,5
23,10,8
22,11,2
22,10,6
22,9,6
17,12,5
15,10,4
12,4,3
13,6,5
9,6,2
14,8,1
13,3,5
15,4,5
27,8,2
39,10,5
40,8,6
36,10,6
34,9,6
33,11,3
28,11,8
30,9,4
26,8,6
30,9,9
35,13,6
38,12,4
34,9,7
30,10,3
27,11,5
24,9,4
21,8,3
16,11,4
16,11,6
13,7,4
11,5,2
13,4,5
15,7,3
17,5,4
18,8,3
24,8,4
41,11,8
29,8,3
25,9,4
25,11,3
26,11,5
25,6,5
24,12,8
26,7,4
24,8,5
28,9,6
22,9,6
23,12,6
18,6,8
21,6,3
20,6,4
15,8,7
13,7,5
10,8,1
10,6,2
12,5,5
9,4,5
11,4,6
15,8,3
16,7,5
16,6,4
12,7,6
11,8,2
14,5,6
16,8,4
18,4,2
13,7,6
17,8,4
15,5,3
19,7,4
15,9,5
19,6,2
15,6,5
15,8,6
13,5,4
14,7,1
10,7,3
8,6,3
9,5,1
9,5,2
9,7,3
9,7,6
16,9,2
18,4,3
18,3,2
17,6,4
18,7,2
14,6,6
15,4,6
13,4,2
15,5,6
19,8,2
18,5,3
21,6,5
17,8,5
17,8,2
15,8,4
17,6,6
14,5,5
13,6,1
15,5,5
12,8,1
12,5,4
13,7,3
14,5,5
13,5,2
16,7,3
26,7,5
21,10,7
26,7,6
24,8,4
26,8,6
22,10,8
24,12,11
26,9,13
23,9,5
29,10,12
31,10,8
27,13,7
27,7,9
26,7,6
23,11,12
21,8,11
19,11,4
16,9,6
11,8,4
11,9,3
15,8,4
12,10,7
12,7,6
18,5,7
31,8,8
42,12,7
37,10,9
30,9,4
33,11,6
28,9,13
29,10,8
28,10,7
28,9,6
31,12,8
28,10,5
26,10,8
26,10,10
27,9,6
24,6,4
23,9,6
20,6,2
19,6,4
20,8,4
16,7,5
19,8,5
16,5,5
17,7,1
19,6,8
30,16,29
44,12,29
35,9,18
34,12,16
31,9,19
31,14,17
28,14,15
34,11,25
37,11,32
37,10,34
34,14,30
31,11,25
29,11,23
28,10,16
32,10,14
23,6,11
20,7,7
16,10,8
18,11,6
17,7,4
16,8,7
17,5,6
18,7,7
25,8,15
31,9,14
32,8,16
31,10,20
29,11,24
31,9,35
31,11,39
30,14,39
28,10,23
29,12,23
36,13,22
29,13,20
28,11,18
30,12,18
29,13,24
24,12,31
20,8,18
15,10,13
14,7,7
13,9,9
8,7,9
12,9,13
14,7,12
15,8,15
20,14,21
26,9,31
26,9,26
26,13,30
21,8,26
26,9,21
29,12,26
20,13,24
22,9,17
25,8,16
27,14,17
26,13,19
24,14,19
25,7,18
21,8,22
17,12,15
16,7,8
15,9,7
15,8,7
15,8,7
8,5,5
12,5,6
13,5,7
12,6,7
16,4,12
18,8,13
17,7,15
18,10,17
15,6,15
21,8,16
18,4,22
17,5,13
17,5,12
19,6,13
22,8,15
18,7,16
17,7,11
22,7,16
17,7,13
15,5,10
15,6,7
11,7,10
12,9,9
11,6,4
8,5,3
11,6,5
9,3,8
8,7,6
15,4,11
18,5,12
18,7,13
20,7,16
20,4,12
20,8,14
15,7,12
16,9,13
16,10,15
21,10,17
27,11,18
26,8,14
24,10,19
20,8,20
20,9,19
21,11,18
14,7,6
16,7,6
14,6,7
11,6,3
11,9,6
9,4,6
12,5,7
16,7,11
26,16,11
33,9,14
35,10,14
33,11,14
32,11,10
28,11,13
33,13,12
27,13,10
24,13,15
27,14,9
29,16,13
26,12,9
27,10,8
28,12,10
26,12,6
23,7,8
19,9,5
18,10,7
13,10,4
12,6,5
13,6,5
16,9,2
17,9,6
23,7,7
26,11,4
29,10,10
28,9,8
31,12,8
23,8,4
28,10,7
25,11,3
24,10,7
27,11,7
28,16,14
24,11,9
29,8,3
26,13,4
25,11,6
23,9,4
21,8,6
16,6,4
16,9,6
15,6,2
11,8,4
9,4,4
10,7,3
14,9,2
17,5,3
21,7,4
28,10,3
30,10,6
29,11,8
26,10,3
26,10,6
27,13,4
26,9,4
23,9,8
28,9,6
31,9,3
26,14,5
24,15,7
24,8,4
21,7,3
22,11,5
16,8,2
13,8,5
11,6,10
13,7,5
12,5,5
11,7,8
13,6,5
11,10,2
21,8,6
32,11,5
33,11,4
26,11,9
25,13,6
30,14,8
30,17,8
28,12,7
25,12,7
24,13,6
29,11,7
31,11,9
26,12,4
28,8,3
21,7,6
20,11,3
19,6,6
14,7,2
11,7,1
9,4,3
11,5,1
10,3,3
9,7,5
16,8,7
21,7,6
33,9,5
29,8,7
28,7,5
26,7,6
27,9,5
29,13,6
26,10,4
27,9,4
27,15,6
30,13,6
24,13,5
24,11,4
24,10,8
23,8,5
21,11,4
13,6,3
16,6,5
11,8,2
10,8,4
8,5,5
11,9,6
10,4,1
16,7,1
19,8,5
21,8,9
25,10,5
21,10,5
18,8,5
18,7,9
22,6,3
18,6,6
16,6,1
16,7,6
26,17,4
28,14,3
22,11,3
22,13,4
21,9,4
22,12,2
17,10,5
13,9,3
10,8,6
12,3,2
12,9,3
9,4,5
13,8,9
14,10,5
18,7,6
20,6,3
21,9,5
22,9,2
17,7,2
20,9,5
19,5,5
20,8,6
20,12,5
21,10,4
20,8,5
22,11,3
24,9,5
21,11,4
18,8,3
20,7,5
13,9,2
15,8,4
11,8,5
12,9,5
11,7,1
11,4,1
13,8,2
16,9,2
24,10,6
35,11,8
34,10,6
36,13,10
27,7,5
33,10,3
34,11,6
28,14,7
27,16,7
28,8,5
29,13,7
31,14,5
29,10,3
26,13,6
24,12,2
21,9,4
20,7,3
18,8,4
13,11,4
14,6,7
11,8,3
11,6,4
12,7,2
16,8,5
21,11,3
30,11,3
29,12,4
28,6,5
31,12,5
26,11,7
29,10,8
25,11,7
25,11,9
25,9,6
27,8,3
27,12,6
30,12,10
24,13,8
26,13,7
21,9,5
19,11,6
18,7,6
15,9,4
17,9,5
13,8,2
14,9,3
16,8,5
18,8,2
32,9,4
39,11,5
39,8,6
38,12,3
33,11,8
33,13,4
30,8,5
29,11,4
28,14,8
29,9,5
32,12,2
35,12,7
34,9,5
31,9,6
27,9,3
23,9,1
22,9,2
15,11,3
17,10,2
13,9,3
12,6,4
12,6,5
15,9,5
17,8,1
23,10,5
30,9,8
31,7,3
26,11,8
24,7,8
30,9,4
26,7,3
24,13,3
28,12,4
28,10,5
31,9,3
30,8,5
29,10,5
28,9,5
22,11,6
19,12,2
19,9,6
16,11,5
14,8,3
15,6,2
14,9,5
10,4,4
11,7,2
14,5,4
29,10,3
31,8,3
32,10,5
30,10,4
25,10,7
30,7,2
28,11,2
27,10,5
26,11,2
22,10,5
28,10,4
27,10,6
23,9,5
27,7,4
20,7,2
18,8,4
19,6,3
15,5,2
12,6,2
15,4,2
7,6,3
10,4,1
11,4,5
13,5,2
13,9,2
19,4,1
17,6,6
20,8,3
15,8,3
17,3,4
17,4,1
16,8,2
17,7,5
16,4,1
21,8,2
19,4,4
20,8,5
20,8,3
21,6,2
14,9,3
14,4,2
12,8,5
12,4,5
10,4,3
8,4,2
8,4,4
12,3,2
11,4,3
14,6,4
17,6,3
17,5,6
19,5,2
17,7,2
13,5,3
16,8,4
10,6,5
18,7,4
19,6,1
20,7,3
21,9,5
15,6,6
21,9,6
19,6,6
19,5,3
15,8,3
13,8,2
11,8,4
10,5,4
9,7,4
10,5,3
13,7,4
20,8,3
24,8,4
26,9,7
32,10,2
29,10,6
25,7,3
28,9,5
27,10,4
22,6,7
25,11,4
24,9,5
34,12,7
30,12,1
28,10,3
26,13,3
27,9,2
19,10,5
20,7,5
17,10,2
14,9,3
15,8,5
12,8,3
14,9,3
11,10,3
16,6,4
18,10,5
23,11,7
28,12,4
27,9,3
23,9,5
26,10,5
23,10,3
25,7,6
23,16,5
26,8,5
24,13,6
25,9,2
24,8,2
23,12,3
21,8,3
21,12,2
20,8,4
18,7,1
15,9,3
10,6,5
11,5,4
13,7,2
13,6,2
14,7,2
18,8,4
20,10,6
26,9,8
25,12,7
39,10,4
36,9,7
33,12,6
26,10,3
25,11,5
27,12,5
27,14,2
29,14,1
27,12,3
28,10,5
26,11,2
20,10,2
14,9,1
14,6,3
17,7,1
11,10,3
12,5,4
12,6,4
14,8,1
14,7,5
19,7,1
28,10,4
26,8,7
31,14,6
23,10,6
24,10,3
28,14,4
26,13,5
26,9,7
27,12,3
22,10,4
25,12,3
24,12,4
23,12,5
22,9,3
17,8,4
19,7,4
16,7,2
14,10,5
13,10,5
10,6,4
11,8,3
13,4,5
12,8,1
15,6,3
26,11,5
33,8,6
31,6,4
26,7,5
30,8,6
28,7,8
29,13,3
23,15,7
29,10,2
26,7,4
29,13,5
24,8,4
22,9,3
23,10,4
23,9,4
16,7,6
12,11,4
