1,0.0121
2,0.0136
3,0.0107
4,0.0071
5,0.0039
6,0.0035
7,0.0052
8,0.0074
9,0.0099
10,0.0118
11,0.0162
12,0.02
13,0.0277
14,0.0302
15,0.0296
16,0.0311
17,0.0297
18,0.0277
19,0.0293
20,0.0236
21,0.0199
22,0.0149
23,0.0138
24,0.0092
25,0.0057
26,0.0035
27,0.0029
28,0.0034
29,0.0045
30,0.0083
31,0.0143
32,0.021
33,0.028
34,0.029
35,0.0328
36,0.0403
37,0.0451
38,0.0497
39,0.0478
40,0.0478
41,0.049
42,0.0483
43,0.0309
44,0.0442
45,0.027
46,0.023
47,0.0194
48,0.0152
49,0.0094
50,0.0059
51,0.0041
52,0.0035
53,0.0043
54,0.005
55,0.008
56,0.0154
57,0.0248
58,0.0261
59,0.0308
60,0.0368
61,0.034
62,0.033
63,0.0424
64,0.0467
65,0.0449
66,0.0458
67,0.0428
68,0.0334
69,0.0266
70,0.0219
71,0.0185
72,0.0135
73,0.0084
74,0.0057
75,0.0044
76,0.0033
77,0.0023
78,0.0033
79,0.0056
80,0.0095
81,0.0157
82,0.0201
83,0.0257
84,0.0301
85,0.0292
86,0.0341
87,0.0386
88,0.0383
89,0.0377
90,0.0411
91,0.0353
92,0.0271
93,0.021
94,0.0152
95,0.01
96,0.0075
97,0.0055
98,0.0038
99,0.0036
100,0.0032
101,0.0056
102,0.0123
103,0.022
104,0.0351
105,0.0377
106,0.0308
107,0.0333
108,0.0406
109,0.0479
110,0.0465
111,0.0537
112,0.0497
113,0.051
114,0.0525
115,0.045
116,0.0391
117,0.0274
118,0.0181
119,0.013
120,0.0109
121,0.0069
122,0.0049
123,0.0036
124,0.0035
125,0.007
126,0.0129
127,0.025
128,0.0357
129,0.0411
130,0.0313
131,0.0342
132,0.0415
133,0.0479
134,0.0477
135,0.0475
136,0.0536
137,0.0508
138,0.05
139,0.0493
140,0.0415
141,0.0298
142,0.0206
143,0.0154
144,0.0108
145,0.0069
146,0.0035
147,0.0032
148,0.0035
149,0.0067
150,0.0145
151,0.0248
152,0.0362
153,0.0403
154,0.0365
155,0.0358
156,0.0424
157,0.0482
158,0.0485
159,0.0485
160,0.0524
161,0.0524
162,0.0506
163,0.05
164,0.0416
165,0.0305
166,0.0237
167,0.014
168,0.011
169,0.0081
170,0.0042
171,0.0038
172,0.0039
173,0.0068
174,0.0131
175,0.0244
176,0.0383
177,0.0409
178,0.0354
179,0.0345
180,0.0422
181,0.0454
182,0.0522
183,0.0504
184,0.0572
185,0.0511
186,0.0489
187,0.0502
188,0.0403
189,0.0294
190,0.0218
191,0.0155
